Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
979,90.599,77.823,0.524,17.485
980,90.636,78.58,0.583,17.487
981,90.659,79.387,0.645,17.515
982,90.714,80.203,0.677,17.546
983,90.75,81.013,0.714,17.535
984,90.839,81.837,0.723,17.559
985,90.869,82.632,0.79,17.531
986,90.935,83.438,0.834,17.532
987,90.93,84.152,0.906,17.494
988,90.99,84.934,0.951,17.511
989,91.065,85.695,1.028,17.519
990,91.117,86.478,1.12,17.552
991,91.138,87.123,1.227,17.555
992,91.096,87.784,1.336,17.552
993,91.17,88.423,1.38,17.541
994,91.188,89.038,1.447,17.536
995,91.257,89.589,1.509,17.55
996,91.209,90.051,1.631,17.605
997,91.236,90.534,1.712,17.647
998,91.234,90.91,1.782,17.642
999,91.265,91.194,1.875,17.642
1000,91.285,91.397,1.984,17.662
1001,91.334,91.551,2.111,17.695
1002,91.333,91.686,2.257,17.697
1003,91.374,91.704,2.388,17.718
1004,91.397,91.684,2.54,17.726
1005,91.421,91.529,2.675,17.719
1006,91.445,91.384,2.837,17.726
1007,91.464,91.142,2.994,17.711
1008,91.46,90.809,3.157,17.732
1009,91.457,90.405,3.303,17.73
1010,91.457,89.969,3.473,17.777
1011,91.437,89.55,3.639,17.78
1012,91.349,89.016,3.822,17.784
1013,91.226,88.445,4.045,17.764
1014,91.203,87.841,4.251,17.76
1015,91.173,87.222,4.493,17.756
1016,91.155,86.512,4.691,17.779
1017,91.117,85.783,4.924,17.799
1018,91.048,85.063,5.159,17.802
1019,91.05,84.366,5.391,17.826
1020,90.995,83.632,5.64,17.84
1021,90.966,82.877,5.864,17.842
1022,90.875,82.109,6.137,17.809
1023,90.798,81.307,6.451,17.774
1024,90.691,80.493,6.76,17.765
1025,90.601,79.725,7.058,17.794
1026,90.555,79.007,7.34,17.823
1027,90.529,78.315,7.675,17.831
1028,90.471,77.6,7.986,17.824
1029,90.366,76.928,8.303,17.786
1030,90.257,76.217,8.632,17.768
1031,90.17,75.53,9.007,17.72
1032,90.062,74.812,9.367,17.718
1033,90.034,74.279,9.72,17.731
1034,89.972,73.759,10.058,17.73
1035,89.922,73.289,10.424,17.731
1036,89.823,72.771,10.809,17.729
1037,89.736,72.271,11.204,17.729
1038,89.697,71.862,11.588,17.705
1039,89.569,71.4,11.994,17.652
1040,89.496,71.03,12.384,17.621
1041,89.413,70.652,12.799,17.607
1042,89.387,70.35,13.184,17.598
1043,89.32,70.018,13.602,17.604
1044,89.248,69.762,14.017,17.602
1045,89.164,69.511,14.439,17.621
1046,89.09,69.35,14.852,17.628
1047,88.994,69.181,15.261,17.608
1048,88.924,69.066,15.669,17.614
1049,88.837,68.916,16.112,17.584
1050,88.756,68.819,16.543,17.599
1051,88.643,68.736,16.975,17.576
1052,88.532,68.721,17.375,17.59
1053,88.434,68.685,17.76,17.609
1054,88.308,68.716,18.17,17.618
1055,88.187,68.7,18.596,17.638
1056,88.059,68.765,19.041,17.614
1057,87.968,68.807,19.5,17.608
1058,87.871,68.927,19.937,17.579
1059,87.682,69.038,20.401,17.598
1060,87.55,69.24,20.823,17.589
1061,87.403,69.461,21.252,17.598
1062,87.325,69.688,21.647,17.578
1063,87.179,69.904,22.001,17.606
1064,87.082,70.192,22.32,17.614
1065,86.921,70.516,22.593,17.632
1066,86.754,70.903,22.861,17.639
1067,86.557,71.296,23.135,17.63
1068,86.435,71.717,23.435,17.632
1069,86.338,72.181,23.744,17.632
1070,86.257,72.641,23.994,17.624
1071,86.155,73.113,24.209,17.62
1072,86.076,73.604,24.438,17.619
1073,85.933,74.13,24.706,17.625
1074,85.837,74.751,24.998,17.631
